Time,c2_system.prob,c2_system.cases,c2_system.C_dot,c2_system.Level,c2_system.state_level,c2_system.total,c2_system.D
7.800000,1.000000,600.112347,56.885767,3.000000,0.000000,618.857507,0.280528
7.900000,1.000000,604.336700,55.518661,3.000000,0.000000,624.477937,0.301501
8.000000,1.000000,608.345763,54.207887,3.000000,0.000000,629.964456,0.323695
8.100000,1.000000,612.142049,52.952184,3.000000,0.000000,635.322634,0.347155
8.200000,1.000000,615.727957,51.750204,3.000000,0.000000,640.557913,0.371927
8.300000,1.000000,619.105774,50.600540,3.000000,0.000000,645.675595,0.398056
8.400000,1.000000,622.277682,49.501739,3.000000,0.000000,650.680840,0.425587
8.500000,1.000000,625.245765,48.452320,3.000000,0.000000,655.578663,0.454564
8.600000,1.000000,628.012019,47.450788,3.000000,0.000000,660.373926,0.485029
8.700000,1.000000,630.578365,46.495642,3.000000,0.000000,665.071345,0.517025
8.800000,1.000000,632.946658,45.585383,3.000000,0.000000,669.675483,0.550592
8.900000,1.000000,635.118699,44.718524,3.000000,0.000000,674.190757,0.585770
9.000000,1.000000,637.096250,43.893594,3.000000,0.000000,678.621432,0.622596
9.100000,1.000000,638.881047,43.109138,3.000000,0.000000,682.971629,0.661106
9.200000,1.000000,640.474811,42.363728,3.000000,0.000000,687.245326,0.701333
9.300000,1.000000,641.879260,41.655958,3.000000,0.000000,691.446356,0.743310
9.400000,1.000000,643.096126,40.984450,3.000000,0.000000,695.578416,0.787066
9.500000,1.000000,644.127164,40.347853,3.000000,0.000000,699.645064,0.832628
9.600000,1.000000,644.974162,39.744846,3.000000,0.000000,703.649726,0.880020
9.700000,1.000000,645.638958,39.174135,3.000000,0.000000,707.595697,0.929265
9.800000,1.000000,646.123443,38.634454,3.000000,0.000000,711.486143,0.980381
9.900000,1.000000,646.429577,38.124566,3.000000,0.000000,715.324105,1.033385
10.000000,1.000000,646.559394,37.643263,3.000000,0.000000,719.112504,1.088290
10.100000,1.000000,646.515010,37.189365,3.000000,0.000000,722.854139,1.145107
10.200000,1.000000,646.298635,36.761717,3.000000,0.000000,726.551693,1.203841
10.300000,1.000000,645.912573,36.359192,3.000000,0.000000,730.207735,1.264498
