Time,nz-c2.C_dot,nz-c2.Level,nz-c2.total_cases,nz-c2.deaths,nz-c2.Iu,nz-c2.Ic
0,0,0,64,0,350,64
1,49.583848,0,107.923434,0.060001,495.838477,101.923341
2,51.680799,0,159.097935,0.120062,516.807987,147.091736
3,50.431444,0,210.221328,0.180634,504.314438,192.157923
4,49.693207,0,260.159173,0.243407,496.932071,235.818434
5,50.77422,0,310.228215,0.313084,507.742198,278.919766
6,133.953846,4,452.370018,0.399038,446.51282,412.466184
7,123.918364,4,580.845618,0.514574,413.061213,529.388221
8,116.811535,4,701.17267,0.673741,389.371785,633.798587
9,108.701849,4,814.109897,0.889315,362.339496,725.178377
10,98.285769,4,917.795221,1.174864,327.619231,800.308869
11,86.16221,4,1010.116879,1.547315,287.207367,855.385358
12,73.595913,4,1089.986888,2.024777,245.31971,887.509208
13,61.696283,4,1157.548538,2.619976,205.654278,895.550984
14,51.125892,4,1213.838548,3.333981,170.419639,880.440477
15,42.128611,4,1260.337549,4.153845,140.428702,844.953032
16,34.670013,4,1298.618392,5.054592,115.566711,793.159145
17,28.574939,4,1330.139307,6.003849,95.249795,729.754375
18,23.622679,4,1356.154616,6.967089,78.742262,659.445721
19,19.599366,4,1377.698457,7.912092,65.331221,586.489263
20,16.32022,4,1395.604665,8.812005,54.400733,514.404176
21,13.634654,4,1410.539388,9.646921,45.448848,445.847266
22,11.423467,4,1423.03426,10.4042,38.078222,382.614279
23,9.593395,4,1433.515155,11.07786,31.977983,325.729196
24,8.071584,4,1442.325307,11.667411,26.905279,275.584215
25,6.800882,4,1449.743289,12.176449,22.669608,232.098437
26,5.736157,4,1455.996796,12.611258,19.120523,194.871018
27,4.841481,4,1461.273188,12.9796,16.13827,163.313193
28,4.088022,4,1465.727594,13.289759,13.626739,136.751723
29,3.452443,4,1469.489172,13.549864,11.508143,114.502757
30,2.915698,4,1472.665974,13.767467,9.718993,95.919267
31,2.462111,4,1475.348753,13.949314,8.207037,80.417394
32,2.078681,4,1477.613976,14.101265,6.928937,67.487446
33,1.754541,4,1479.526214,14.228314,5.84847,56.694776
34,1.480515,4,1481.140046,14.334654,4.93505,47.674686
35,1.248845,4,1482.501601,14.423772,4.162816,40.124385
36,1.053018,4,1483.649886,14.498558,3.510061,33.794085
37,0.887573,4,1484.617936,14.561396,2.958577,28.478376
38,0.747897,4,1485.433767,14.614253,2.49299,24.008447
39,0.461437,3,1485.91425,14.658758,2.307187,20.038478
40,0.423105,3,1486.356513,14.696257,2.115525,16.730804
41,0.386681,3,1486.761144,14.727871,1.933406,13.974086
42,0.354509,3,1487.131348,14.754525,1.772546,11.678804
43,0.327209,3,1487.471831,14.776981,1.636043,9.773713
44,0.304074,3,1487.787184,14.795854,1.52037,8.201817
45,0.283929,3,1488.080995,14.81165,1.419644,6.915989
46,0.265728,3,1488.355705,14.824808,1.328642,5.874873
47,0.248783,3,1488.612884,14.835727,1.243917,5.040149
48,0.232738,3,1488.853586,14.84478,1.163692,4.375631
49,0.217462,3,1489.078631,14.852309,1.087311,3.847754
50,0.202938,3,1489.288775,14.858622,1.01469,3.42661
51,0,3,1489.330883,14.86398,0,2.9329
52,0,3,1489.330883,14.868597,0,2.471203
53,0,3,1489.330883,14.872639,0,2.066944
54,0,3,1489.330883,14.87623,0,1.707881
55,0,2,1489.330883,14.879445,0,1.386404
56,0,2,1489.330883,14.882313,0,1.09961
57,0,2,1489.330883,14.884826,0,0.84824
58,0,2,1489.330883,14.886965,0,0.634432
59,0,2,1489.330883,14.888715,0,0.459374
60,0,2,1489.330883,14.89009,0,0.321932
61,0,2,1489.330883,14.891124,0,0.218522
62,0,2,1489.330883,14.89187,0,0.143862
63,0,2,1489.330883,14.892389,0,0.092012
64,0,2,1489.330883,14.892736,0,0.057279
65,0,2,1489.330883,14.892961,0,0.03477
66,0,2,1489.330883,14.893103,0,0.020619
67,0,2,1489.330883,14.893189,0,0.011965
68,0,2,1489.330883,14.893241,0,0.006805
69,0,2,1489.330883,14.893271,0,0.003799
70,0,2,1489.330883,14.893288,0,0.002085
71,0,2,1489.330883,14.893298,0,0.001126
72,0,2,1489.330883,14.893303,0,0.000599
73,0,2,1489.330883,14.893306,0,0.000314
74,0,2,1489.330883,14.893307,0,0.000163
75,0,2,1489.330883,14.893308,0,8.3E-05
76,0,2,1489.330883,14.893308,0,4.2E-05
77,0,2,1489.330883,14.893309,0,2.1E-05
78,0,2,1489.330883,14.893309,0,1E-05
79,0,2,1489.330883,14.893309,0,5E-06
80,0,2,1489.330883,14.893309,0,3E-06
81,0,1,1489.330883,14.893309,0,1E-06
82,0,1,1489.330883,14.893309,0,1E-06
83,0,1,1489.330883,14.893309,0,0
84,0,1,1489.330883,14.893309,0,0
85,0,1,1489.330883,14.893309,0,0
86,0,1,1489.330883,14.893309,0,0
87,0,1,1489.330883,14.893309,0,0
88,0,1,1489.330883,14.893309,0,0
89,0,1,1489.330883,14.893309,0,0
90,0,1,1489.330883,14.893309,0,0
91,0,1,1489.330883,14.893309,0,0
92,0,1,1489.330883,14.893309,0,0
93,0,1,1489.330883,14.893309,0,0
94,0,1,1489.330883,14.893309,0,0
95,0,1,1489.330883,14.893309,0,0
96,0,1,1489.330883,14.893309,0,0
97,0,1,1489.330883,14.893309,0,0
98,0,1,1489.330883,14.893309,0,0
99,0,1,1489.330883,14.893309,0,0
100,0,1,1489.330883,14.893309,0,0
101,0,1,1489.330883,14.893309,0,0
102,0,1,1489.330883,14.893309,0,0
103,0,1,1489.330883,14.893309,0,0
104,0,1,1489.330883,14.893309,0,0
105,0,1,1489.330883,14.893309,0,0
106,0,1,1489.330883,14.893309,0,0
107,0,1,1489.330883,14.893309,0,0
108,0,1,1489.330883,14.893309,0,0
109,0,1,1489.330883,14.893309,0,0
110,0,1,1489.330883,14.893309,0,0
111,0,1,1489.330883,14.893309,0,0
112,0,1,1489.330883,14.893309,0,0
113,0,1,1489.330883,14.893309,0,0
114,0,1,1489.330883,14.893309,0,0
115,0,1,1489.330883,14.893309,0,0
116,0,1,1489.330883,14.893309,0,0
117,0,1,1489.330883,14.893309,0,0
118,0,1,1489.330883,14.893309,0,0
119,0,1,1489.330883,14.893309,1E-06,0
120,0,1,1489.330883,14.893309,1E-06,0
121,0,1,1489.330883,14.893309,1E-06,0
122,0,1,1489.330883,14.893309,1E-06,0
123,0,1,1489.330883,14.893309,1E-06,0
124,0,1,1489.330883,14.893309,1E-06,0
125,0,1,1489.330883,14.893309,1E-06,0
126,0,1,1489.330883,14.893309,1E-06,0
127,0,1,1489.330883,14.893309,1E-06,0
128,0,1,1489.330883,14.893309,2E-06,0
129,0,1,1489.330883,14.893309,2E-06,0
