Time,nz-c1.Ic,nz-c1.C_dot,nz-c1.Level,nz-c1.total_cases,nz-c1.deaths
126,0,0,4,1488.044648,14.880446
127,0,0,4,1488.044648,14.880446
128,0,0,4,1488.044648,14.880446
129,0,0,4,1488.044648,14.880446
130,0,0,4,1488.044648,14.880446
131,0,0,4,1488.044648,14.880446
132,0,0,4,1488.044648,14.880446
133,0,0,4,1488.044648,14.880446
134,0,0,4,1488.044648,14.880446
135,0,0,4,1488.044648,14.880446
136,0,0,4,1488.044648,14.880446
137,0,0,4,1488.044648,14.880446
138,0,0,4,1488.044648,14.880446
139,0,0,4,1488.044648,14.880446
140,0,0,4,1488.044648,14.880446
141,0,0,4,1488.044648,14.880446
142,0,0,4,1488.044648,14.880446
143,0,0,4,1488.044648,14.880446
144,0,0,4,1488.044648,14.880446
145,0,0,4,1488.044648,14.880446
146,0,0,4,1488.044648,14.880446
147,0,0,4,1488.044648,14.880446
148,0,0,4,1488.044648,14.880446
149,0,0,4,1488.044648,14.880446
150,0,0,4,1488.044648,14.880446
151,0,0,4,1488.044648,14.880446
152,0,0,4,1488.044648,14.880446
153,0,0,4,1488.044648,14.880446
154,0,0,4,1488.044648,14.880446
155,0,0,4,1488.044648,14.880446
156,0,0,4,1488.044648,14.880446
157,0,0,4,1488.044648,14.880446
158,0,0,4,1488.044648,14.880446
159,0,0,4,1488.044648,14.880446
160,0,0,4,1488.044648,14.880446
161,0,0,4,1488.044648,14.880446
162,0,0,4,1488.044648,14.880446
163,0,0,4,1488.044648,14.880446
164,0,0,4,1488.044648,14.880446
165,0,0,4,1488.044648,14.880446
166,0,0,4,1488.044648,14.880446
167,0,0,4,1488.044648,14.880446
168,0,0,4,1488.044648,14.880446
169,0,0,4,1488.044648,14.880446
170,0,0,4,1488.044648,14.880446
171,0,0,4,1488.044648,14.880446
172,0,0,4,1488.044648,14.880446
173,0,0,4,1488.044648,14.880446
174,0,0,4,1488.044648,14.880446
175,0,0,4,1488.044648,14.880446
176,0,0,4,1488.044648,14.880446
177,0,0,4,1488.044648,14.880446
178,0,0,4,1488.044648,14.880446
179,0,0,4,1488.044648,14.880446
180,0,0,4,1488.044648,14.880446
181,0,0,4,1488.044648,14.880446
182,0,0,4,1488.044648,14.880446
183,0,0,4,1488.044648,14.880446
184,0,0,4,1488.044648,14.880446
185,0,0,4,1488.044648,14.880446
186,0,0,4,1488.044648,14.880446
