Time,nz-c3.C_dot,nz-c3.Level,nz-c3.total_cases,nz-c3.deaths,nz-c3.Iu,nz-c3.Ic
59,8225.871231,4,183745.810783,1594.929991,82258.712306,93993.406871
60,7961.744268,4,191837.786281,1768.334421,79617.442676,92774.252309
61,7719.225091,4,199676.755163,1946.213637,77192.25091,91045.146176
62,7494.474795,4,207282.388543,2126.030107,74944.747949,88959.708573
63,7284.030923,4,214670.68506,2305.523115,72840.309226,86653.936436
64,7084.965822,4,221854.441739,2482.848556,70849.658222,84239.114326
65,6894.91497,4,228843.810076,2656.631184,68949.149704,81799.395335
66,6712.045217,4,235646.846584,2825.94622,67120.452169,79393.117392
67,6534.995138,4,242270.01592,2990.255508,65349.951379,77056.518205
68,6362.802535,4,248718.627062,3149.322826,63628.025346,74808.544884
69,6194.827503,4,254997.194196,3303.12735,61948.275033,72655.743125
70,6030.677135,4,261109.721054,3451.787198,60306.771352,70596.582604
71,5870.136592,4,267059.912782,3595.498601,58701.36592,68624.912276
72,5713.109925,4,272851.323539,3734.491682,57131.099252,66732.486999
73,5559.572433,4,278487.450594,3869.001121,55595.724326,64910.656896
74,5409.534833,4,283971.786719,3999.248735,54095.348335,63151.380515
75,5263.018341,4,289307.842308,4125.434812,52630.183411,61447.737487
76,5120.038943,4,294499.147341,4247.73535,51200.389432,59794.099869
77,4980.59887,4,299549.241374,4366.302946,49805.988698,58186.091219
78,4844.683241,4,304461.657766,4481.269625,48446.832414,56620.429739
79,4712.260121,4,309239.906365,4592.750484,47122.601214,55094.722381
80,4583.282554,4,313887.457361,4700.847397,45832.825535,53607.25295
81,4457.691526,4,318407.727702,4805.652358,44576.915259,52156.78926
82,4335.419151,4,322804.070628,4907.250281,43354.191514,50742.42162
83,4216.391624,4,327079.768308,5005.721169,42163.916238,49363.436455
84,4100.531726,4,331238.027212,5101.141717,41005.31726,48019.223605
85,3987.760806,4,335281.975734,5193.586394,39877.608059,46709.212935
86,3878.000232,4,339214.663527,5283.128134,38780.002324,45432.834715
87,3771.172392,4,343039.062053,5369.838715,37711.723922,44189.498011
88,3667.201315,4,346758.065943,5453.788925,36672.013146,42978.581881
89,3566.013011,4,350374.49483,5535.048589,35660.130109,41799.43496
90,3467.535612,4,353891.095409,5613.686516,34675.356116,40651.379984
91,3371.699369,4,357310.543573,5689.770407,33716.993695,39533.720716
92,3278.436583,4,360635.446495,5763.366756,32784.36583,38445.749518
93,3187.681479,4,363868.344622,5834.540756,31876.814789,37386.754494
94,3099.370083,4,367011.713537,5903.356229,30993.700826,36356.025619
95,3013.440093,4,370067.965693,5969.87557,30134.400926,35352.859596
96,2929.830769,4,373039.452032,6034.159721,29298.307689,34376.56346
97,2848.482839,4,375928.463493,6096.268158,28484.828387,33426.45704
98,2769.338421,4,378737.232445,6156.258891,27693.384213,32501.87449
99,2692.340969,4,381467.934047,6214.188483,26923.40969,31602.165088
100,2617.435221,4,384122.687556,6270.112072,26174.352215,30726.693508
101,2544.567171,4,386703.557596,6324.083397,25445.671715,29874.839746
102,2473.684038,4,389212.5554,6376.154832,24736.840378,29045.998819
103,2404.734244,4,391651.640022,6426.377417,24047.342435,28239.580354
104,2337.667397,4,394022.719532,6474.800889,23376.673974,27455.008133
105,2272.434276,4,396327.652196,6521.473718,22724.342765,26691.719641
106,2208.98681,4,398568.247632,6566.443136,22089.868101,25949.165638
107,2147.278063,4,400746.267955,6609.755165,21472.780628,25226.809776
108,2087.262217,4,402863.428908,6651.45465,20872.622172,24524.128257
109,2028.894556,4,404921.400964,6691.585285,20288.945559,23840.60953
110,1972.131444,4,406921.810423,6730.189637,19721.314436,23175.75402
111,1916.930307,4,408866.240481,6767.309178,19169.303071,22529.073888
112,1863.249616,4,410756.232283,6802.984306,18632.496162,21900.092804
113,1811.048864,4,412593.285956,6837.254372,18110.488637,21288.34574
114,1760.288545,4,414378.861624,6870.157702,17602.885447,20693.378762
115,1710.930137,4,416114.380398,6901.731623,17109.30137,20114.748837
116,1663.078415,0,417801.242636,6932.012558,16630.78415,19552.040922
117,1625.668996,0,419443.580915,6961.047761,16256.689955,19007.619789
118,1639.110184,0,421069.464947,6988.99004,16391.101835,18507.833801
119,1750.375879,0,422754.773537,7016.208577,17503.758788,18126.885195
120,1974.200997,0,424607.958383,7043.187411,19742.009972,17971.581146
121,2292.611664,0,426734.561748,7070.301096,22926.116642,18145.752069
122,2675.310755,0,429214.188821,7097.712516,26753.107548,18726.781305
