GDP Loss,Deaths
4.2,207
4.4,159
4.6000000000000005,125
4.800000000000001,104
5.000000000000001,87
5.200000000000001,77
5.400000000000001,66
5.600000000000001,58
5.800000000000002,52
6.000000000000002,48
6.200000000000002,46
6.400000000000002,43
6.600000000000002,40
6.8000000000000025,39
7.000000000000003,38
7.200000000000003,37
7.400000000000003,36
7.600000000000003,35
7.800000000000003,34
8.000000000000004,34
8.200000000000003,34
8.400000000000004,33
8.600000000000005,33
8.800000000000004,32
9.000000000000004,32
9.200000000000005,32
9.400000000000006,32
9.600000000000005,32
9.800000000000004,32
10.000000000000005,32
10.200000000000006,32
10.400000000000006,32
10.600000000000005,32
30.0,32
