Time,nz-c1.S,nz-c1.E,nz-c1.P,nz-c1.Iu,nz-c1.Ic,nz-c1.Ru,nz-c1.Rc,nz-c1.D,nz-c1.cases,nz-c1.Level
34.000000,4819408.777534,3.863709,1.122211,4.518515,149.922132,639.085411,1327.248528,19.861959,1490.577211,4.000000
35.000000,4819408.359918,3.377665,0.977738,3.888667,136.850645,639.500711,1341.435203,20.009454,1491.835698,4.000000
36.000000,4819407.985620,2.960910,0.854308,3.356903,124.857964,639.858657,1354.381795,20.143843,1492.920382,4.000000
37.000000,4819407.649714,2.602463,0.748534,2.906697,113.866952,640.168115,1366.191269,20.266256,1493.858133,4.000000
38.000000,4819407.347907,2.293213,0.657608,2.524440,103.803534,640.436464,1376.959100,20.377733,1494.671312,4.000000
39.000000,4819407.076443,2.025590,0.579206,2.198918,94.597156,640.669859,1386.773601,20.479227,1495.378570,4.000000
40.000000,4819406.832030,1.793291,0.511395,1.920874,86.181068,640.873445,1395.716285,20.571613,1495.995496,4.000000
41.000000,4819406.611775,1.591055,0.452565,1.682655,78.492472,641.051531,1403.862252,20.655695,1496.535150,4.000000
42.000000,4819406.413127,1.414483,0.401376,1.477930,71.472558,641.207737,1411.280584,20.732205,1497.008502,4.000000
43.000000,4819406.233833,1.259885,0.356706,1.301445,65.066468,641.345111,1418.034735,20.801817,1497.424787,4.000000
44.000000,4819406.071897,1.124162,0.317615,1.148839,59.223198,641.466226,1424.182920,20.865143,1497.791804,4.000000
45.000000,4819405.925550,1.004701,0.283312,1.016481,53.895459,641.573262,1429.778490,20.922745,1498.116156,4.000000
46.000000,4819405.793217,0.899293,0.253133,0.901342,49.039520,641.668069,1434.870291,20.975135,1498.403450,4.000000
47.000000,4819405.673498,0.806067,0.226516,0.800890,44.615018,641.752223,1439.503008,21.022780,1498.658460,4.000000
48.000000,4819405.565139,0.723434,0.202985,0.713004,40.584772,641.827069,1443.717490,21.066107,1498.885267,4.000000
49.000000,4819405.467024,0.650035,0.182136,0.635903,36.914584,641.893761,1447.551053,21.105503,1499.087365,4.000000
50.000000,4819405.378152,0.584714,0.163623,0.568086,33.573044,641.953291,1451.037767,21.141324,1499.267758,4.000000
51.000000,4819405.297624,0.526474,0.147153,0.508285,30.531336,642.006513,1454.208723,21.173891,1499.429037,4.000000
52.000000,4819405.224636,0.474460,0.132474,0.455428,27.763056,642.054166,1457.092280,21.203499,1499.573440,4.000000
53.000000,4819405.158464,0.427934,0.119367,0.408604,25.244029,642.096892,1459.714293,21.230416,1499.702911,4.000000
54.000000,4819405.098457,0.386257,0.107647,0.367036,22.952142,642.135248,1462.098330,21.254885,1499.819141,4.000000
55.000000,4819405.044029,0.348873,0.097151,0.330060,20.867179,642.169720,1464.265861,21.277127,1499.923604,4.000000
56.000000,4819404.994652,0.315300,0.087738,0.297109,18.970675,642.200736,1466.236445,21.297345,1500.017590,4.000000
57.000000,4819404.949848,0.285114,0.079286,0.267694,17.245773,642.228668,1468.027895,21.315723,1500.102232,4.000000
58.000000,4819404.909189,0.257947,0.071689,0.241393,15.677086,642.253845,1469.656425,21.332427,1500.178526,4.000000
59.000000,4819404.872285,0.233473,0.064852,0.217841,14.250585,642.276556,1471.136797,21.347610,1500.247350,4.000000
60.000000,4819404.838786,0.211407,0.058694,0.196723,12.953476,642.297060,1472.482444,21.361409,1500.309481,4.000000
61.000000,4819404.808373,0.191496,0.053143,0.177764,11.774099,642.315581,1473.705592,21.373951,1500.365606,4.000000
62.000000,4819404.780761,0.173518,0.048135,0.160723,10.701830,642.332322,1474.817361,21.385350,1500.416336,4.000000
63.000000,4819404.755688,0.157274,0.043614,0.145389,9.726993,642.347462,1475.827870,21.395710,1500.462215,4.000000
64.000000,4819404.732919,0.142589,0.039529,0.131580,8.840775,642.361161,1476.746321,21.405126,1500.503726,4.000000
65.000000,4819404.712241,0.129306,0.035836,0.119131,8.035155,642.373561,1477.581086,21.413683,1500.541303,4.000000
66.000000,4819404.693460,0.117286,0.032497,0.107901,7.302829,642.384790,1478.339776,21.421460,1500.575330,4.000000
67.000000,4819404.676403,0.106404,0.029475,0.097763,6.637152,642.394962,1479.029314,21.428528,1500.606156,4.000000
68.000000,4819404.660909,0.096548,0.026739,0.088604,6.032074,642.404180,1479.655994,21.434951,1500.634089,4.000000
69.000000,4819404.646834,0.087619,0.024262,0.080325,5.482096,642.412536,1480.225540,21.440789,1500.659409,4.000000
70.000000,4819404.634049,0.079526,0.022017,0.072838,4.982210,642.420112,1480.743154,21.446094,1500.682366,4.000000
71.000000,4819404.622435,0.072190,0.019983,0.066063,4.527865,642.426982,1481.213567,21.450915,1500.703185,4.000000
72.000000,4819404.611883,0.065538,0.018139,0.059931,4.114919,642.433214,1481.641080,21.455296,1500.722070,4.000000
73.000000,4819404.602297,0.059506,0.016468,0.054377,3.739606,642.438868,1482.029601,21.459277,1500.739203,4.000000
74.000000,4819404.593588,0.054033,0.014952,0.049346,3.398502,642.443998,1482.382686,21.462896,1500.754750,4.000000
75.000000,4819404.585675,0.049067,0.013576,0.044787,3.088493,642.448655,1482.703563,21.466184,1500.768859,4.000000
76.000000,4819404.578486,0.044562,0.012328,0.040654,2.806748,642.452881,1482.995169,21.469172,1500.781666,4.000000
77.000000,4819404.571954,0.040472,0.011196,0.036907,2.550693,642.456717,1483.260173,21.471888,1500.793292,4.000000
78.000000,4819404.566019,0.036760,0.010169,0.033509,2.317987,642.460200,1483.501001,21.474356,1500.803846,4.000000
79.000000,4819404.560626,0.033390,0.009236,0.030426,2.106504,642.463363,1483.719857,21.476598,1500.813430,4.000000
80.000000,4819404.555726,0.030331,0.008389,0.027630,1.914309,642.466234,1483.918745,21.478636,1500.822132,4.000000
81.000000,4819404.551274,0.027553,0.007620,0.025092,1.739644,642.468842,1484.099486,21.480488,1500.830034,4.000000
82.000000,4819404.547229,0.025030,0.006922,0.022789,1.580912,642.471211,1484.263736,21.482171,1500.837211,4.000000
83.000000,4819404.543553,0.022739,0.006289,0.020699,1.436659,642.473362,1484.412999,21.483701,1500.843729,4.000000
84.000000,4819404.540212,0.020659,0.005713,0.018801,1.305567,642.475315,1484.548643,21.485090,1500.849650,4.000000
85.000000,4819404.537177,0.018769,0.005190,0.017078,1.186433,642.477090,1484.671909,21.486354,1500.855028,4.000000
86.000000,4819404.534419,0.017053,0.004715,0.015514,1.078169,642.478702,1484.783926,21.487501,1500.859913,4.000000
87.000000,4819404.531913,0.015493,0.004284,0.014093,0.979783,642.480167,1484.885722,21.488544,1500.864351,4.000000
88.000000,4819404.529636,0.014077,0.003892,0.012803,0.890374,642.481497,1484.978229,21.489492,1500.868382,4.000000
89.000000,4819404.527566,0.012790,0.003537,0.011632,0.809122,642.482706,1485.062294,21.490354,1500.872045,4.000000
90.000000,4819404.525686,0.011622,0.003213,0.010568,0.735284,642.483804,1485.138687,21.491136,1500.875372,4.000000
91.000000,4819404.523977,0.010560,0.002920,0.009601,0.668184,642.484802,1485.208109,21.491848,1500.878396,4.000000
92.000000,4819404.522424,0.009595,0.002653,0.008723,0.607207,642.485708,1485.271196,21.492494,1500.881142,4.000000
93.000000,4819404.521013,0.008718,0.002411,0.007926,0.551794,642.486531,1485.328526,21.493081,1500.883638,4.000000
94.000000,4819404.519731,0.007922,0.002190,0.007201,0.501437,642.487280,1485.380623,21.493615,1500.885905,4.000000
95.000000,4819404.518566,0.007199,0.001990,0.006543,0.455676,642.487960,1485.427966,21.494100,1500.887965,4.000000
96.000000,4819404.517507,0.006541,0.001808,0.005945,0.414091,642.488577,1485.470989,21.494541,1500.889837,4.000000
