Time,i-c1.S,i-c1.E,i-c1.P,i-c1.Iu,i-c1.Ic,i-c1.Ru,i-c1.Rc,i-c1.D,i-c1.cases,i-c1.Phase
102.000000,59983239.764786,3364.854049,869.068171,5174.543913,7613.557022,217804.191593,210995.126309,32766.894158,234667.384541,3.000000
103.000000,59982518.017518,3258.713017,841.654582,5011.329314,7373.513750,218282.894343,211699.469735,32842.407743,235176.642785,3.000000
104.000000,59981819.038294,3155.919007,815.105426,4853.261249,7141.032073,218746.497857,212381.606025,32915.540071,235669.838013,3.000000
105.000000,59981142.109077,3056.366541,789.393462,4700.177462,6915.874276,219195.478250,213042.234748,32986.366185,236147.476729,3.000000
106.000000,59980486.534463,2959.953464,764.492308,4551.920822,6697.810071,219630.296628,213682.033478,33054.958766,236610.049472,3.000000
107.000000,59979851.640966,2866.580835,740.376411,4408.339162,6486.616374,220051.399559,214301.658485,33121.388209,237058.031313,3.000000
108.000000,59979236.776331,2776.152826,717.021024,4269.285116,6282.077083,220459.219535,214901.745394,33185.722691,237491.882351,3.000000
109.000000,59978641.308864,2688.576630,694.402177,4134.615967,6083.982864,220854.175414,215482.909839,33248.028244,237912.048181,3.000000
110.000000,59978064.626784,2603.762357,672.496656,4004.193501,5892.130942,221236.672854,216045.748085,33308.368820,238318.960351,3.000000
111.000000,59977506.137597,2521.622951,651.281977,3877.883860,5706.324897,221607.104723,216590.837637,33366.806357,238713.036807,3.000000
112.000000,59976965.267489,2442.074094,630.736365,3755.557406,5526.374467,221965.851508,217118.737826,33423.400845,239094.682323,3.000000
113.000000,59976441.460734,2365.034127,610.838729,3637.088588,5352.095359,222313.281702,217629.990381,33478.210382,239464.288912,3.000000
114.000000,59975934.179129,2290.423958,591.568643,3522.355808,5183.309062,222649.752182,218125.119980,33531.291238,239822.236231,3.000000
115.000000,59975442.901439,2218.166990,572.906325,3411.241304,5019.842669,222975.608577,218604.634785,33582.697910,240168.891971,3.000000
116.000000,59974967.122865,2148.189036,554.832615,3303.631021,4861.528698,223291.185622,219069.026963,33632.483180,240504.612231,3.000000
117.000000,59974506.354522,2080.418246,537.328956,3199.414499,4708.204930,223596.807499,219518.773182,33680.698165,240829.741888,3.000000
118.000000,59974060.122942,2014.785035,520.377378,3098.484757,4559.714237,223892.788172,219954.335106,33727.392373,241144.614944,3.000000
119.000000,59973627.969584,1951.222008,503.960474,3000.738184,4415.904430,224179.431707,220376.159860,33772.613753,241449.554875,3.000000
120.000000,59973209.450369,1889.663893,488.061387,2906.074433,4276.628101,224457.032586,220784.680488,33816.408743,241744.874959,3.000000
121.000000,59972804.135219,1830.047477,472.663790,2814.396320,4141.742472,224725.876006,221180.316399,33858.822317,242030.878597,3.000000
122.000000,59972411.607619,1772.311535,457.751872,2725.609721,4011.109256,224986.238174,221563.473790,33899.898034,242307.859627,3.000000
123.000000,59972031.464188,1716.396774,443.310319,2639.623475,3884.594510,225238.386589,221934.546066,33939.678078,242576.102622,3.000000
124.000000,59971663.314267,1662.245767,429.324300,2556.349298,3762.068505,225482.580317,222293.914239,33978.203306,242835.883184,3.000000
125.000000,59971306.779515,1609.802899,415.779450,2475.701683,3643.405589,225719.070257,222641.947320,34015.513286,243087.468226,3.000000
126.000000,59970961.493524,1559.014305,402.661859,2397.597818,3528.484063,225948.099397,222979.002695,34051.646340,243331.116247,3.000000
127.000000,59970627.101440,1509.827820,389.958052,2321.957502,3417.186053,226169.903062,223305.426489,34086.639582,243567.077593,3.000000
128.000000,59970303.259602,1462.192920,377.654983,2248.703058,3309.397395,226384.709160,223621.553926,34120.528957,243795.594719,3.000000
129.000000,59969989.635187,1416.060676,365.740013,2177.759258,3205.007516,226592.738412,223927.709664,34153.349275,244016.902433,3.000000
130.000000,59969685.905866,1371.383699,354.200904,2109.053245,3103.909323,226794.204579,224224.208133,34185.134252,244231.228143,3.000000
131.000000,59969391.759481,1328.116095,343.025802,2042.514456,3005.999089,226989.314682,224511.353856,34215.916539,244438.792083,3.000000
132.000000,59969106.893714,1286.213417,332.203229,1978.074553,2911.176356,227178.269216,224789.441758,34245.727758,244639.807544,3.000000
133.000000,59968831.015787,1245.632618,321.722065,1915.667350,2819.343823,227361.262349,225058.757473,34274.598536,244834.481090,3.000000
134.000000,59968563.842152,1206.332006,311.571545,1855.228749,2730.407254,227538.482132,225319.577630,34302.558532,245023.012774,3.000000
135.000000,59968305.098208,1168.271208,301.741239,1796.696671,2644.275379,227710.110682,225572.170142,34329.636472,245205.596337,3.000000
136.000000,59968054.518013,1131.411120,292.221049,1740.010991,2560.859800,227876.324373,225816.794478,34355.860176,245382.419414,3.000000
137.000000,59967811.844015,1095.713872,283.001193,1685.113484,2480.074903,228037.294020,226053.701928,34381.256586,245553.663718,3.000000
138.000000,59967576.826784,1061.142786,274.072200,1631.947755,2401.837770,228193.185048,226283.135861,34405.851796,245719.505237,3.000000
139.000000,59967349.224759,1027.662344,265.424895,1580.459190,2326.068091,228344.157666,226505.331978,34429.671077,245880.114406,3.000000
140.000000,59967128.803998,995.238145,257.050394,1530.594896,2252.688087,228490.367031,226720.518546,34452.738903,246035.656284,3.000000
141.000000,59966915.337938,963.836873,248.940093,1482.303645,2181.622429,228631.963407,226928.916641,34475.078975,246186.290726,3.000000
142.000000,59966708.607164,933.426263,241.085657,1435.535826,2112.798158,228769.092317,227130.740365,34496.714250,246332.172545,3.000000
143.000000,59966508.399181,903.975068,233.479016,1390.243392,2046.144614,228901.894696,227326.197076,34517.666958,246473.451672,3.000000
144.000000,59966314.508197,875.453024,226.112355,1346.379809,1981.593364,229030.507034,227515.487589,34537.958629,246610.273308,3.000000
145.000000,59966126.734912,847.830822,218.978103,1303.900012,1919.078127,229155.061515,227698.806393,34557.610115,246742.778076,3.000000
146.000000,59965944.886313,821.080080,212.068930,1262.760355,1858.534713,229275.686156,227876.341842,34576.641611,246871.102161,3.000000
147.000000,59965768.775476,795.173307,205.377736,1222.918568,1799.900953,229392.504934,228048.276354,34595.072672,246995.377456,3.000000
148.000000,59965598.221374,770.083881,198.897645,1184.333715,1743.116637,229505.637915,228214.786594,34612.922239,247115.731692,3.000000
149.000000,59965433.048688,745.786020,192.621998,1146.966150,1688.123450,229615.201382,228376.043656,34630.208656,247232.288572,3.000000
150.000000,59965273.087634,722.254752,186.544346,1110.777478,1634.864917,229721.307946,228532.213241,34646.949686,247345.167895,3.000000
151.000000,59965118.173779,699.465897,180.658442,1075.730512,1583.286341,229824.066668,228683.455824,34663.162536,247454.485685,3.000000
152.000000,59964968.147882,677.396034,174.958240,1041.789240,1533.334749,229923.583169,228829.926822,34678.863865,247560.354302,3.000000
153.000000,59964822.855723,656.022482,169.437879,1008.918784,1484.958836,230019.959737,228971.776748,34694.069812,247662.882566,3.000000
154.000000,59964682.147947,635.323275,164.091688,977.085368,1438.108914,230113.295434,229109.151371,34708.796003,247762.175861,3.000000
155.000000,59964545.879913,615.277140,158.914171,946.256278,1392.736864,230203.686199,229242.191864,34723.057572,247858.336249,3.000000
156.000000,59963944.770009,1011.021105,193.408397,930.142904,1349.154814,230291.569190,229371.041982,34736.891600,247951.828793,2.000000
157.000000,59963348.079441,1315.409287,259.862755,967.246963,1310.600260,230380.278856,229495.992928,34750.529512,248046.200778,2.000000
158.000000,59962740.637066,1562.283104,326.725706,1059.132629,1281.980431,230475.134227,229617.750939,34764.355898,248147.110747,2.000000
159.000000,59962107.048546,1777.934500,387.186864,1192.065622,1266.929208,230580.669425,229737.434286,34778.731550,248259.382235,2.000000
160.000000,59961434.917721,1980.187178,442.091270,1352.933242,1267.399643,230700.099301,229856.421954,34793.949691,248386.435295,2.000000
161.000000,59960714.309413,2180.759524,493.975395,1532.794576,1284.106454,230835.595838,229976.214088,34810.244712,248530.580546,2.000000
162.000000,59959936.895276,2387.370814,545.233198,1726.624665,1317.042248,230988.681867,230098.340471,34827.811462,248693.438024,2.000000
163.000000,59959095.225874,2605.266418,597.721745,1932.233698,1365.867941,231160.549690,230224.312142,34846.822494,248876.276133,2.000000
164.000000,59958182.202397,2838.229051,652.808294,2149.273391,1430.164124,231352.278952,230355.602992,34867.440799,249080.243434,2.000000
165.000000,59957190.715058,3089.219733,711.511585,2378.524011,1509.577241,231564.974043,230493.649753,34889.828576,249306.514807,2.000000
166.000000,59956113.397937,3360.774791,774.631284,2621.436775,1603.896853,231799.846954,230639.862229,34914.153176,249556.379606,2.000000
167.000000,59954942.458305,3655.249783,842.843312,2879.860850,1713.091495,232058.266367,230795.638679,34940.591209,249831.293875,2.000000
168.000000,59953669.550741,3974.970270,916.764288,3155.891205,1837.321407,232341.787168,230962.383363,34969.331559,250132.911748,2.000000
169.000000,59952285.676522,4322.327145,996.993583,3451.791354,1976.939499,232652.169481,231141.524669,35000.577748,250463.105699,2.000000
170.000000,59950781.095951,4699.839612,1084.140653,3769.960816,2132.487217,232991.392720,231334.533053,35034.549979,250823.981484,2.000000
171.000000,59949145.245900,5110.199717,1178.843212,4112.928640,2304.689070,233361.667914,231542.938505,35071.487042,251217.891265,2.000000
172.000000,59947366.657744,5556.306763,1281.779943,4483.361786,2494.447861,233765.450194,231768.347521,35111.648188,251647.446882,2.000000
173.000000,59945432.872606,6041.296522,1393.680082,4884.081919,2702.841604,234205.452494,232012.459704,35155.315070,252115.534436,2.000000
174.000000,59943330.351857,6568.568230,1515.331332,5318.086972,2931.122584,234684.661081,232277.084170,35202.793776,252625.330805,2.000000
175.000000,59941044.381380,7141.811142,1647.586980,5788.575554,3180.718711,235206.353248,232564.155977,35254.417008,253180.322472,2.000000
176.000000,59938558.968466,7765.031757,1791.372759,6298.973233,3453.237162,235774.117404,232875.752788,35310.546431,253784.326893,2.000000
177.000000,59935856.730328,8442.582448,1947.693800,6852.960295,3750.470251,236391.875695,233214.111976,35371.575207,254441.516564,2.000000
178.000000,59932918.773352,9179.191981,2117.641882,7454.500897,4074.403444,237063.909313,233581.648392,35437.930741,255156.445945,2.000000
179.000000,59929724.562135,9979.998325,2302.403124,8107.873708,4427.225467,237794.886597,233980.972975,35510.077669,255934.081354,2.000000
180.000000,59926251.777429,10850.584054,2503.266240,8817.704223,4811.340436,238589.894110,234414.912417,35588.521091,256779.834028,2.000000
181.000000,59922476.161987,11797.014622,2721.631427,9588.998988,5229.382007,239454.470824,234886.530054,35673.810092,257699.596488,2.000000
182.000000,59918371.353293,12825.879815,2959.019974,10427.182010,5684.229533,240394.645631,235399.148187,35766.541557,258699.782454,2.000000
183.000000,59913908.702076,13944.338618,3217.084657,11338.133645,6179.026271,241416.978397,235956.372019,35867.364318,259787.370502,2.000000
184.000000,59909057.075415,15160.167826,3497.620993,12328.232243,6717.199685,242528.604780,236562.115393,35976.983664,260969.951762,2.000000
185.000000,59903782.643174,16481.814669,3802.579431,13404.398890,7302.483929,243737.285128,237220.628551,36096.166228,262255.781918,2.000000
186.000000,59898048.646398,17918.453789,4134.078543,14574.145539,7938.944607,245051.457718,237936.528104,36225.745301,263653.837865,2.000000
187.000000,59891815.146197,19480.048902,4494.419315,15845.626892,8631.005938,246480.224691,238714.790217,36366.737849,265173.879347,2.000000
188.000000,59890305.073918,16506.087253,4449.182322,17077.563143,9379.591858,248028.048167,239559.815591,36522.637749,266822.546682,3.000000
189.000000,59888723.449348,14255.645840,4029.976289,17828.709146,10153.042931,249668.915855,240475.488848,36692.771744,268572.609689,3.000000
190.000000,59887075.714102,12560.946851,3573.399240,18033.238259,10897.349484,251352.646950,241461.919322,36872.785794,270369.850775,3.000000
191.000000,59885392.557797,11271.987504,3176.588941,17811.769962,11568.539552,253033.747486,242514.486630,37058.322128,272165.047898,3.000000
192.000000,59883698.416170,10277.509078,2855.219795,17306.244588,12139.999253,254679.542903,243625.221696,37245.846518,273922.805185,3.000000
193.000000,59882011.367503,9496.476223,2600.354544,16633.184856,12600.076286,256269.466286,244784.353426,37432.720875,275620.808437,3.000000
194.000000,59880344.252160,8870.391892,2398.058293,15876.766060,12947.739458,257792.219032,245981.512105,37617.060999,277246.765797,3.000000
195.000000,59878705.918755,8357.210624,2235.540697,15093.590780,13188.680459,259242.957728,247206.538634,37797.562323,278795.369572,3.000000
196.000000,59877102.280953,7926.768321,2102.594912,14319.588676,13332.383510,260621.062096,248449.973213,37973.348319,280265.883569,3.000000
197.000000,59875537.134249,7557.435313,1991.520759,13576.125804,13390.102760,261928.515529,249703.313468,38143.852118,281660.391937,3.000000
198.000000,59874012.762128,7233.695415,1896.656076,12874.707385,13373.546363,263168.786559,250959.117835,38308.728239,282982.589498,3.000000
199.000000,59872530.377145,6944.405793,1813.887066,12220.379357,13294.068517,264346.083234,252211.010690,38467.788198,284236.975320,3.000000
200.000000,59871090.438673,6681.550241,1740.240606,11614.104786,13162.210281,265464.872459,253453.628895,38620.954062,285428.332848,3.000000
201.000000,59869692.880551,6439.347449,1673.571419,11054.384819,12987.471779,266529.582297,254682.536539,38768.225147,286561.407881,3.000000
202.000000,59868337.273646,6213.613756,1612.330571,10538.341617,12778.232860,267544.134760,255893.773389,38910.299402,287640.720205,3.000000
203.000000,59867022.941682,6001.307935,1555.397132,10062.426024,12541.765119,268512.093564,257084.011869,39048.056675,288670.463614,3.000000
204.000000,59865749.043609,5800.206089,1501.956847,9622.867436,12284.296902,269437.052996,258250.991425,39181.584696,289654.463009,3.000000
205.000000,59864514.632059,5608.669480,1451.415077,9215.949014,12011.105929,270322.254921,259392.992865,39310.980655,290596.167185,3.000000
206.000000,59863318.694728,5425.478725,1403.334473,8838.166267,11726.623292,271170.600896,260508.752519,39436.349099,291498.662903,3.000000
207.000000,59862160.183575,5249.715374,1357.390413,8486.309156,11434.538686,271984.676464,261597.387616,39557.798716,292364.700741,3.000000
208.000000,59861038.035330,5080.677322,1313.339154,8157.495186,11137.900885,272766.780681,262658.331366,39675.440076,293196.726504,3.000000
209.000000,59859951.185812,4917.818373,1270.995072,7849.172115,10839.210228,273518.957222,263691.277125,39789.384053,293996.914314,3.000000
210.000000,59858898.579835,4760.705055,1230.214403,7559.102745,10540.501610,274243.024809,264696.130813,39899.740730,294767.198981,3.000000
211.000000,59857879.177976,4608.985741,1190.883623,7285.340021,10243.417605,274940.605708,265672.970677,40006.618651,295509.306320,3.000000
212.000000,59856891.961112,4462.368559,1152.911136,7026.197747,9949.272019,275613.151647,266622.013466,40110.124314,296224.780723,3.000000
213.000000,59855935.933370,4320.605591,1116.221340,6780.220243,9659.104538,276261.966911,267543.586163,40210.361844,296915.009728,3.000000
214.000000,59855010.123963,4183.481541,1080.750364,6546.152954,9373.727316,276888.228620,268438.102460,40307.432780,297581.245588,3.000000
