Time,nz-c3.S,nz-c3.E,nz-c3.P,nz-c3.Iu,nz-c3.Ic,nz-c3.Ru,nz-c3.Rc,nz-c3.D,nz-c3.cases,nz-c3.Level
0.000000,4820875.800000,904.800000,226.200000,187.200000,39.000000,0.000000,0.000000,0.000000,39.000000,0.000000
1.000000,4820788.120121,783.087898,214.017730,353.910652,61.526790,27.157482,4.855959,0.323368,66.431800,0.000000
2.000000,4820658.461278,725.276418,196.497492,475.294157,95.550730,68.542975,12.557752,0.819199,108.235328,0.000000
3.000000,4820494.827777,710.191352,185.070431,561.311093,136.073579,120.086677,23.983834,1.455258,160.299674,0.000000
4.000000,4820302.882471,723.414735,181.234380,624.971892,179.749678,178.940778,39.598597,2.207468,219.748261,0.000000
5.000000,4820086.001896,755.734084,183.761427,676.713169,224.682342,243.435765,59.610247,3.061071,284.894712,0.000000
6.000000,4819845.788496,801.534382,191.093399,723.721585,269.988762,312.771758,84.092884,4.008734,354.931069,0.000000
7.000000,4819582.595211,857.539863,201.998332,770.602566,315.422581,386.725694,113.067339,5.048414,429.632014,0.000000
8.000000,4819295.921984,921.948244,215.649797,820.202779,361.108154,465.437212,146.550139,6.181690,509.138598,0.000000
9.000000,4818984.681703,993.871574,231.548698,874.264414,407.371196,549.268637,184.581154,7.412624,593.816806,0.000000
10.000000,4818647.366705,1072.988137,249.426660,933.876118,454.637777,638.719478,227.238079,8.747046,684.171190,0.000000
11.000000,4818282.147419,1159.330905,269.168825,999.762628,503.377650,734.377160,274.643286,10.192126,780.795111,0.000000
12.000000,4817886.927053,1253.161308,290.760400,1072.463232,554.074790,836.890564,326.966521,11.756132,884.344004,0.000000
13.000000,4817459.368549,1354.895244,314.252179,1152.438758,607.214001,946.957409,384.425548,13.448313,995.522635,0.000000
14.000000,4816996.904174,1465.060670,339.739284,1240.134497,663.276681,1065.319880,447.285966,15.278847,1115.080687,0.000000
15.000000,4816496.734154,1584.274180,367.348511,1336.016770,722.741592,1192.765061,515.860885,17.258848,1243.813192,0.000000
