Time,covidsim_system.S,covidsim_system.E1,covidsim_system.E2,covidsim_system.P1,covidsim_system.P2,covidsim_system.I1,covidsim_system.I2,covidsim_system.L1,covidsim_system.L2,covidsim_system.R,covidsim_system.D,covidsim_system.prob,covidsim_system.cases,covidsim_system.C_dot
3.400000,4820595.679942,582.469797,393.574654,87.261840,82.780886,388.184829,88.860089,12.761284,1.314640,0.111812,0.000225,0.473363,265.032881,82.780886
3.500000,4820584.834986,578.794905,398.202642,88.377354,83.258194,392.582234,91.859636,13.532308,1.432035,0.125454,0.000253,0.473363,273.331919,83.258194
3.600000,4820573.812517,575.386391,402.628364,89.494597,83.796642,396.986171,94.873123,14.325579,1.556037,0.140297,0.000283,0.473363,281.681489,83.796642
3.700000,4820562.610256,572.239927,406.863355,90.608693,84.390332,401.402398,97.900502,15.141015,1.686801,0.156408,0.000315,0.473363,290.087437,84.390332
3.800000,4820551.225910,569.351299,410.918762,91.715508,85.033493,405.836029,100.941782,15.978533,1.824480,0.173854,0.000350,0.473363,298.555028,85.033493
3.900000,4820539.657186,566.716402,414.805353,92.811564,85.720541,410.291566,103.997017,16.838053,1.969224,0.192706,0.000388,0.473363,307.088955,85.720541
4.000000,4820527.901787,564.331236,418.533526,93.893968,86.446120,414.772915,107.066306,17.719494,2.121183,0.213036,0.000429,0.473363,315.693364,86.446120
4.100000,4820515.957413,562.191899,422.113330,94.960350,87.205132,419.283426,110.149780,18.622780,2.280502,0.234914,0.000473,0.473363,324.371876,87.205132
4.200000,4820503.821768,560.294586,425.554465,96.008802,87.992763,423.825918,113.247602,19.547833,2.447326,0.258416,0.000520,0.473363,333.127615,87.992763
4.300000,4820491.492561,558.635581,428.866301,97.037828,88.804492,428.402715,116.359958,20.494582,2.621794,0.283618,0.000571,0.473363,341.963238,88.804492
4.400000,4820478.967502,557.211254,432.057885,98.046292,89.636104,433.015684,119.487054,21.462955,2.804048,0.310595,0.000626,0.473363,350.880963,89.636104
4.500000,4820466.244312,556.018059,435.137951,99.033384,90.483696,437.666267,122.629110,22.452886,2.994225,0.339426,0.000684,0.473363,359.882598,90.483696
4.600000,4820453.320718,555.052530,438.114930,99.998574,91.343670,442.355515,125.786356,23.464310,3.192460,0.370192,0.000746,0.473363,368.969578,91.343670
4.700000,4820440.194459,554.311274,440.996961,100.941581,92.212734,447.084127,128.959029,24.497164,3.398887,0.402973,0.000812,0.473363,378.142991,92.212734
4.800000,4820426.863282,553.790975,443.791899,101.862344,93.087892,451.852478,132.147370,25.551391,3.613636,0.437851,0.000882,0.473363,387.403608,93.087892
4.900000,4820413.324946,553.488386,446.507321,102.760992,93.966441,456.660655,135.351619,26.626934,3.836839,0.474910,0.000956,0.473363,396.751914,93.966441
5.000000,4820399.577225,553.400328,449.150540,103.637818,94.845952,461.508489,138.572014,27.723741,4.068622,0.514235,0.001036,0.473363,406.188138,94.845952
5.100000,4820385.617901,553.523689,451.728609,104.493261,95.724266,466.395582,141.808787,28.841762,4.309112,0.555912,0.001120,0.473363,415.712275,95.724266
5.200000,4820371.444772,553.855420,454.248331,105.327883,96.599475,471.321336,145.062162,29.980950,4.558433,0.600029,0.001208,0.473363,425.324119,96.599475
5.300000,4820357.055648,554.392536,456.716266,106.142353,97.469915,476.284980,148.332358,31.141260,4.816707,0.646674,0.001302,0.473363,435.023282,97.469915
5.400000,4820342.448354,555.132112,459.138738,106.937429,98.334147,481.285596,151.619578,32.322651,5.084056,0.695938,0.001402,0.473363,444.809221,98.334147
5.500000,4820327.620724,556.071281,461.521844,107.713947,99.190946,486.322141,154.924018,33.525082,5.360599,0.747910,0.001506,0.473363,454.681257,99.190946
5.600000,4820312.570609,557.207238,463.871460,108.472804,100.039288,491.393471,158.245858,34.748517,5.646453,0.802685,0.001617,0.473363,464.638601,100.039288
5.700000,4820297.295871,558.537230,466.193248,109.214952,100.878333,496.498357,161.585266,35.992921,5.941735,0.860354,0.001733,0.473363,474.680366,100.878333
5.800000,4820281.794382,560.058566,468.492661,109.941382,101.707417,501.635509,164.942396,37.258260,6.246560,0.921013,0.001855,0.473363,484.805593,101.707417
5.900000,4820266.064027,561.768605,470.774955,110.653121,102.526033,506.803590,168.317386,38.544503,6.561041,0.984757,0.001983,0.473363,495.013260,102.526033
6.000000,4820250.102703,563.664763,473.045187,111.351220,103.333823,512.001232,171.710360,39.851621,6.885289,1.051684,0.002118,0.473363,505.302304,103.333823
