Time,Model,Real,Level,,,,,,,Day 0,21/03/20
152,1606.234436,1589,3,,,,,,,,
153,1613.18254,1594,3,,,,,,,,
154,1619.379904,1601,3,,,,,,,,
155,1624.904934,1603,3,,,,,,,,
156,1629.829407,1610,3,,,,,,,,
157,1634.218366,1617,3,,,,,,,,
158,1638.130344,1620,3,,,,,,,,
159,1641.617773,1625,3,,,,,,,,
160,1644.727463,1631,3,,,,,,,,
161,1647.501119,1640,3,,,,,,,,
162,1649.975846,1644,3,,,,,,,,
163,1652.184621,1648,3,,,,,,,,
164,1653.70041,1650,2,,,,,,,,
165,1655.117755,1654,2,,,,,,,,
166,1656.446893,1658,2,,,,,,,,
167,1657.697243,1660,2,,,,,,,,
168,1658.876804,1662,2,,,,,,,,
169,1659.991955,1667,2,,,,,,,,
170,1661.047771,1669,2,,,,,,,,
171,1662.048385,1673,2,,,,,,,,
